Sample,Cell,Mother,MotherSize,BirthTime,Sb,GrowthRate,DivPar
630,630,630,2.0509593453070525,18.6533801026984,1.02547967,0.03850818,0.5
596,596,596,2.0511092295361437,18.655277813642538,1.02555461,0.03850818,0.5
395,395,395,2.051938937517375,18.665780386381062,1.02596947,0.03850818,0.5
989,989,989,2.053637605562289,18.68726914997637,1.0268188,0.03850818,0.5
376,376,376,2.053951504402238,18.691238137717296,1.02697575,0.03850818,0.5
695,695,695,2.054487858857857,18.698018486792286,1.02724393,0.03850818,0.5
339,339,339,2.0560383814186634,18.71760953734046,1.02801919,0.03850818,0.5
245,245,245,2.057470856494489,18.73569591747859,1.02873543,0.03850818,0.5
629,629,629,2.0578529134490826,18.740517628094942,1.02892646,0.03850818,0.5
559,559,559,2.058503577596362,18.748727208130898,1.02925179,0.03850818,0.5
234,234,234,2.059312368524912,18.758928293587914,1.02965618,0.03850818,0.5
680,680,680,2.0617677040813978,18.789872324851704,1.03088385,0.03850818,0.5
295,295,295,2.0621387348424105,18.79454513519279,1.03106937,0.03850818,0.5
672,672,672,2.062641859896658,18.800880215635242,1.03132093,0.03850818,0.5
292,292,292,2.062997511375372,18.805357455856694,1.03149876,0.03850818,0.5
969,969,969,2.064126861134013,18.81956954612435,1.03206343,0.03850818,0.5
152,152,152,2.0662467307253554,18.846225663229035,1.03312337,0.03850818,0.5
759,759,759,2.066636242178124,18.851120567071845,1.03331812,0.03850818,0.5
350,350,350,2.0669029153481646,18.85447125752131,1.03345146,0.03850818,0.5
664,664,664,2.0671195498439254,18.85719290467319,1.03355977,0.03850818,0.5
956,956,956,2.067818639655736,18.865973844375038,1.03390932,0.03850818,0.5
498,498,498,2.0682315839813854,18.87115925006878,1.03411579,0.03850818,0.5
113,113,113,2.0690141884067965,18.880983695017818,1.03450709,0.03850818,0.5
187,187,187,2.069754065398145,18.89026834330909,1.03487703,0.03850818,0.5
529,529,529,2.070405697999178,18.898442872458986,1.03520285,0.03850818,0.5
811,811,811,2.0708700300692024,18.904266204778683,1.03543502,0.03850818,0.5
