S_b,S_d,time
 0.5,1.9537,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.7428,18.0
 0.5,1.6272,18.0
 0.5,1.6968,18.0
 1.0,1.0,18.0
 0.5,1.9667,18.0
 0.5,1.8109,18.0
 0.5,1.8381,18.0
 1.0,1.0,18.0
 0.5,1.7908,18.0
 1.0,1.0,18.0
 0.5,1.8902,18.0
 0.5,1.807,18.0
 1.0,1.0,18.0
 0.5,1.6254,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8268,18.0
 0.5,1.6558,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9446,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.5573,18.0
 0.5,1.8198,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.951,18.0
 0.5,1.7437,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8954,18.0
 0.5,1.9041,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.6383,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8355,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.7367,18.0
 1.0,1.0,18.0
 0.5,1.9767,18.0
 0.5,1.9476,18.0
 0.5,1.5589,18.0
 0.5,1.8021,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.7985,18.0
 0.5,1.5798,18.0
 1.0,1.0,18.0
 0.5,1.8199,18.0
 0.5,1.9617,18.0
 0.5,1.9232,18.0
 0.5,1.8203,18.0
 0.5,1.8104,18.0
 0.5,1.8647,18.0
 0.5,1.8683,18.0
 1.0,1.0,18.0
 0.5,1.9998,18.0
 1.0,1.0,18.0
 0.5,1.8606,18.0
 0.5,1.7636,18.0
 0.5,1.9627,18.0
 1.0,1.0,18.0
 0.5,1.7197,18.0
 0.5,1.7897,18.0
 0.5,1.6479,18.0
 0.5,1.8906,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.462,18.0
 0.5,1.7591,18.0
 1.0,1.0,18.0
 0.5,1.668,18.0
 0.5,1.8513,18.0
 0.5,1.9331,18.0
 0.5,1.7733,18.0
 0.5,1.8877,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.3458,18.0
 1.0,1.0,18.0
 0.5,1.6639,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9739,18.0
 0.5,1.6431,18.0
 0.5,1.6701,18.0
 1.0,1.0,18.0
 0.5,1.9546,18.0
 0.5,1.7555,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.6796,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9673,18.0
 1.0,1.0,18.0
 0.5,1.8938,18.0
 0.5,1.8805,18.0
 0.5,1.691,18.0
 0.5,1.7451,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8923,18.0
 1.0,1.0,18.0
 0.5,1.662,18.0
 1.0,1.0,18.0
 0.5,1.8967,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9699,18.0
 0.5,1.929,18.0
 1.0,1.0,18.0
 0.5,1.75,18.0
 0.5,1.7836,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.5573,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.7469,18.0
 1.0,1.0,18.0
 0.5,1.8993,18.0
 0.5,1.978,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9947,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9332,18.0
 1.0,1.0,18.0
 0.5,1.4468,18.0
 0.5,1.7848,18.0
 0.5,1.731,18.0
 1.0,1.0,18.0
 0.5,1.898,18.0
 0.5,1.9455,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.8615,18.0
 1.0,1.0,18.0
 1.0,1.0,18.0
 0.5,1.9451,18.0
