S_b,S_d,gr,cycletime,time
 1.5,4.8531,0.0385,30.4911,19.8
 1.5,6.2621,0.0385,37.1103,19.8
 1.5,5.7861,0.0385,35.0576,19.8
 1.5,5.9456,0.0385,35.7636,19.8
 1.5,4.9185,0.0385,30.8387,19.8
 1.5,5.9653,0.0385,35.8495,19.8
 1.5,6.1207,0.0385,36.5174,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.5815,0.0385,34.1227,19.8
 1.5,5.9468,0.0385,35.769,19.8
 1.5,5.3197,0.0385,32.8749,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.4536,0.0385,33.5205,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.1642,0.0385,36.7012,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.7881,0.0385,35.0665,19.8
 1.5,6.1019,0.0385,36.4375,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.8777,0.0385,35.4654,19.8
 1.5,6.0796,0.0385,36.3424,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.2184,0.0385,36.9284,19.8
 1.5,5.9162,0.0385,35.6349,19.8
 1.5,5.9107,0.0385,35.6109,19.8
 1.5,5.8277,0.0385,35.2435,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.2181,0.0385,32.3741,19.8
 1.5,5.2282,0.0385,32.4246,19.8
 1.5,5.8238,0.0385,35.2262,19.8
 1.5,4.6574,0.0385,29.4223,19.8
 1.5,5.5267,0.0385,33.8665,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,4.9745,0.0385,31.133,19.8
 1.5,4.4627,0.0385,28.3132,19.8
 1.5,5.7763,0.0385,35.0134,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,4.9088,0.0385,30.7874,19.8
 1.5,4.7755,0.0385,30.0725,19.8
 1.5,5.495,0.0385,33.7169,19.8
 1.5,5.4929,0.0385,33.7073,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.8009,0.0385,35.124,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.3107,0.0385,32.8312,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.0628,0.0385,31.5899,19.8
 1.5,5.5464,0.0385,33.959,19.8
 1.5,6.4287,0.0385,37.7924,19.8
 1.5,5.4083,0.0385,33.3038,19.8
 1.5,6.2054,0.0385,36.8742,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.206,0.0385,36.8769,19.8
 1.5,5.1021,0.0385,31.7904,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.5202,0.0385,33.8358,19.8
 1.5,5.1025,0.0385,31.7926,19.8
 1.5,6.0787,0.0385,36.3388,19.8
 1.5,4.6197,0.0385,29.2112,19.8
 1.5,4.929,0.0385,30.8944,19.8
 1.5,4.6882,0.0385,29.5936,19.8
 1.5,6.4178,0.0385,37.7482,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.2415,0.0385,37.025,19.8
 1.5,6.0426,0.0385,36.1841,19.8
 1.5,5.9668,0.0385,35.8561,19.8
 1.5,5.5053,0.0385,33.7657,19.8
 1.5,5.7531,0.0385,34.9089,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,4.8179,0.0385,30.3024,19.8
 1.5,6.1025,0.0385,36.4402,19.8
 1.5,5.1759,0.0385,32.1635,19.8
 1.5,4.6856,0.0385,29.5792,19.8
 1.5,5.9266,0.0385,35.6806,19.8
 1.5,5.7014,0.0385,34.6743,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.2105,0.0385,32.3367,19.8
 1.5,6.1181,0.0385,36.5064,19.8
 1.5,5.3574,0.0385,33.0586,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.3229,0.0385,37.3612,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.1474,0.0385,36.6303,19.8
 1.5,5.6529,0.0385,34.4526,19.8
 1.5,5.9781,0.0385,35.9053,19.8
 1.5,5.9939,0.0385,35.9738,19.8
 1.5,4.7697,0.0385,30.041,19.8
 1.5,5.7782,0.0385,35.0219,19.8
 1.5,6.1217,0.0385,36.5218,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.2335,0.0385,32.4507,19.8
 1.5,6.065,0.0385,36.28,19.8
 1.5,6.1003,0.0385,36.4308,19.8
 1.5,5.2846,0.0385,32.7033,19.8
 1.5,5.3886,0.0385,33.2091,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.6099,0.0385,34.2544,19.8
 1.5,5.122,0.0385,31.8917,19.8
 1.5,5.3483,0.0385,33.0142,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.0369,0.0385,36.1592,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.9435,0.0385,35.7546,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.2951,0.0385,37.2468,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.9611,0.0385,35.8311,19.8
 1.5,5.373,0.0385,33.1339,19.8
 1.5,5.8754,0.0385,35.4551,19.8
 1.5,5.3261,0.0385,32.9064,19.8
 1.5,4.6759,0.0385,29.5251,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.4237,0.0385,37.772,19.8
 1.5,4.8823,0.0385,30.647,19.8
 1.5,6.0636,0.0385,36.2738,19.8
 1.5,5.7099,0.0385,34.7133,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.7765,0.0385,35.0145,19.8
 1.5,5.1272,0.0385,31.9178,19.8
 1.5,5.4294,0.0385,33.4053,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.608,0.0385,34.2455,19.8
 1.5,5.3722,0.0385,33.13,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.6776,0.0385,34.566,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.3033,0.0385,32.7947,19.8
 1.5,6.2926,0.0385,37.2367,19.8
 1.5,5.676,0.0385,34.5587,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.0642,0.0385,36.2764,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,4.7961,0.0385,30.1845,19.8
 1.5,5.4236,0.0385,33.3772,19.8
 1.5,6.1024,0.0385,36.4395,19.8
 1.5,6.184,0.0385,36.7844,19.8
 1.5,6.3591,0.0385,37.5095,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.0498,0.0385,36.2146,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.0826,0.0385,36.3551,19.8
 1.5,6.1082,0.0385,36.4642,19.8
 1.5,5.5526,0.0385,33.9876,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,4.6026,0.0385,29.1149,19.8
 1.5,5.8953,0.0385,35.5432,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.7929,0.0385,35.0882,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,6.0204,0.0385,36.0885,19.8
 1.5,5.6635,0.0385,34.5015,19.8
 1.5,5.1329,0.0385,31.9468,19.8
 1.5,5.8743,0.0385,35.4504,19.8
 1.5,5.122,0.0385,31.8917,19.8
 3.0,3.0,0.0385,0.0,19.8
 1.5,5.0215,0.0385,31.377,19.8
 1.5,5.5129,0.0385,33.8013,19.8
 1.5,4.7713,0.0385,30.0499,19.8
