Sample,Cell,Mother,MotherSize,BirthTime,Sb,GrowthRate,DivPar
1947,1947,1947,2.0622098165042955,18.79544025105247,1.03110491,0.03850818,0.5
1769,1769,1769,2.063192636097789,18.80781352223814,1.03159632,0.03850818,0.5
505,505,505,2.0634049198303175,18.810485308045887,1.03170246,0.03850818,0.5
1708,1708,1708,2.0640345427018754,18.818408074000388,1.03201727,0.03850818,0.5
1794,1794,1794,2.0643861439126128,18.822831344074338,1.03219307,0.03850818,0.5
1871,1871,1871,2.0646154463608797,18.825715645746573,1.03230772,0.03850818,0.5
1246,1246,1246,2.0648328792079855,18.828450348682406,1.03241644,0.03850818,0.5
1181,1181,1181,2.0651549753027982,18.832500896145394,1.03257749,0.03850818,0.5
1066,1066,1066,2.0651747110071406,18.83274906367149,1.03258736,0.03850818,0.5
485,485,485,2.0655474337797552,18.83743543811606,1.03277372,0.03850818,0.5
1280,1280,1280,2.0655771547307067,18.83780909367514,1.03278858,0.03850818,0.5
1994,1994,1994,2.0658200551137718,18.840862666542762,1.03291003,0.03850818,0.5
729,729,729,2.0658811530975156,18.841630690931247,1.03294058,0.03850818,0.5
1640,1640,1640,2.0673581301778006,18.860189934260788,1.03367907,0.03850818,0.5
843,843,843,2.0682459570774516,18.87133971661087,1.03412298,0.03850818,0.5
1744,1744,1744,2.068479807886263,18.874275737798037,1.0342399,0.03850818,0.5
98,98,98,2.0685957264745074,18.875730984664624,1.03429786,0.03850818,0.5
1917,1917,1917,2.0686551421168953,18.87647685954451,1.03432757,0.03850818,0.5
679,679,679,2.0690138590956226,18.88097956178283,1.03450693,0.03850818,0.5
546,546,546,2.0698328901933425,18.891257312770147,1.03491645,0.03850818,0.5
39,39,39,2.0710258011121665,18.906219485193272,1.0355129,0.03850818,0.5
317,317,317,2.071778071227669,18.91565045773626,1.03588904,0.03850818,0.5
651,651,651,2.071879123752234,18.916917060375475,1.03593956,0.03850818,0.5
1741,1741,1741,2.0722646095979576,18.921748211993872,1.0361323,0.03850818,0.5
