S_b,S_d,gr,cycletime,time
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6544,0.0385,31.0742,19.8
 0.5,1.6743,0.0385,31.3851,19.8
 0.5,1.8901,0.0385,34.5334,19.8
 0.5,1.826,0.0385,33.6372,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7162,0.0385,32.0265,19.8
 0.5,1.4915,0.0385,28.3831,19.8
 0.5,1.6699,0.0385,31.317,19.8
 0.5,2.0517,0.0385,36.6638,19.8
 0.5,2.0456,0.0385,36.5865,19.8
 0.5,1.6878,0.0385,31.5931,19.8
 0.5,1.5057,0.0385,28.6293,19.8
 0.5,1.8866,0.0385,34.4844,19.8
 0.5,1.5294,0.0385,29.034,19.8
 0.5,2.1137,0.0385,37.437,19.8
 0.5,1.8771,0.0385,34.3535,19.8
 0.5,1.9082,0.0385,34.781,19.8
 0.5,1.5061,0.0385,28.6359,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0203,0.0385,36.2625,19.8
 0.5,1.5988,0.0385,30.1872,19.8
 0.5,1.7185,0.0385,32.0616,19.8
 0.5,1.8306,0.0385,33.703,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0932,0.0385,37.1828,19.8
 0.5,1.9537,0.0385,35.3921,19.8
 0.5,1.4357,0.0385,27.393,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6482,0.0385,30.9769,19.8
 0.5,1.6334,0.0385,30.743,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6314,0.0385,30.7103,19.8
 0.5,2.0345,0.0385,36.4448,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9893,0.0385,35.8608,19.8
 0.5,1.7902,0.0385,33.1226,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6328,0.0385,30.7335,19.8
 0.5,1.7159,0.0385,32.0224,19.8
 0.5,1.8116,0.0385,33.4312,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0785,0.0385,37.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.924,0.0385,34.995,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.782,0.0385,33.0043,19.8
 0.5,1.7582,0.0385,32.6546,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0369,0.0385,36.4752,19.8
 0.5,1.7502,0.0385,32.536,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.309,0.0385,24.9937,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.4647,0.0385,27.9114,19.8
 0.5,2.0243,0.0385,36.3138,19.8
 0.5,1.6165,0.0385,30.4727,19.8
 0.5,1.6253,0.0385,30.6128,19.8
 0.5,1.9475,0.0385,35.3102,19.8
 0.5,1.6731,0.0385,31.3656,19.8
 0.5,2.0525,0.0385,36.6732,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.5635,0.0385,29.6066,19.8
 0.5,2.0964,0.0385,37.2229,19.8
 0.5,2.0919,0.0385,37.1671,19.8
 0.5,1.5874,0.0385,30.0005,19.8
 0.5,1.7522,0.0385,32.5664,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.1307,0.0385,37.6445,19.8
 0.5,2.0324,0.0385,36.4177,19.8
 0.5,1.5612,0.0385,29.5678,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0292,0.0385,36.377,19.8
 0.5,1.9383,0.0385,35.1871,19.8
 0.5,1.7989,0.0385,33.2492,19.8
 0.5,1.4916,0.0385,28.3841,19.8
 0.5,1.6407,0.0385,30.859,19.8
 0.5,1.8295,0.0385,33.6864,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9767,0.0385,35.6968,19.8
 0.5,2.0468,0.0385,36.6018,19.8
 0.5,1.7131,0.0385,31.9798,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9571,0.0385,35.4372,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.8181,0.0385,33.5248,19.8
 0.5,1.8176,0.0385,33.518,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.5001,0.0385,28.5318,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9005,0.0385,34.6753,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0328,0.0385,36.4235,19.8
 0.5,1.9118,0.0385,34.8296,19.8
 0.5,1.7287,0.0385,32.2147,19.8
 0.5,1.839,0.0385,33.8206,19.8
 0.5,1.6583,0.0385,31.1347,19.8
 0.5,1.8127,0.0385,33.4466,19.8
 0.5,1.7902,0.0385,33.1224,19.8
 0.5,1.9355,0.0385,35.1491,19.8
 0.5,1.5718,0.0385,29.745,19.8
 0.5,1.8895,0.0385,34.5247,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.5845,0.0385,29.9527,19.8
 0.5,1.9859,0.0385,35.8163,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6341,0.0385,30.7544,19.8
 0.5,1.6947,0.0385,31.6997,19.8
 0.5,1.8882,0.0385,34.507,19.8
 0.5,1.6732,0.0385,31.3674,19.8
 0.5,1.6104,0.0385,30.374,19.8
 0.5,1.8917,0.0385,34.5552,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9719,0.0385,35.6327,19.8
 0.5,1.8185,0.0385,33.5296,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6608,0.0385,31.1745,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7467,0.0385,32.4844,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.7543,0.0385,32.5971,19.8
 0.5,1.8758,0.0385,34.3364,19.8
 0.5,1.7785,0.0385,32.9521,19.8
 0.5,1.7839,0.0385,33.032,19.8
 0.5,2.0996,0.0385,37.2631,19.8
 0.5,1.6244,0.0385,30.5986,19.8
 0.5,1.6581,0.0385,31.132,19.8
 0.5,2.096,0.0385,37.2183,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6124,0.0385,30.4062,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.6453,0.0385,30.9312,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.5382,0.0385,29.183,19.8
 0.5,1.4685,0.0385,27.9785,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.5383,0.0385,29.1846,19.8
 0.5,1.587,0.0385,29.9943,19.8
 0.5,1.8699,0.0385,34.2534,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.4784,0.0385,28.1535,19.8
 0.5,1.9602,0.0385,35.478,19.8
 0.5,1.7281,0.0385,32.2064,19.8
 0.5,1.7384,0.0385,32.3608,19.8
 0.5,1.4951,0.0385,28.4452,19.8
 0.5,2.0038,0.0385,36.0503,19.8
 0.5,2.0337,0.0385,36.4349,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.112,0.0385,37.4158,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0238,0.0385,36.3084,19.8
 0.5,2.058,0.0385,36.7428,19.8
 0.5,1.6101,0.0385,30.3694,19.8
 0.5,1.7623,0.0385,32.7151,19.8
 0.5,2.0505,0.0385,36.6479,19.8
 0.5,1.5544,0.0385,29.4559,19.8
 0.5,2.0316,0.0385,36.4078,19.8
 0.5,1.8928,0.0385,34.5699,19.8
 0.5,1.5917,0.0385,30.0715,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.8576,0.0385,34.0823,19.8
 0.5,1.3787,0.0385,26.3413,19.8
 0.5,2.0048,0.0385,36.0624,19.8
 0.5,1.79,0.0385,33.1201,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0564,0.0385,36.723,19.8
 0.5,1.8644,0.0385,34.1775,19.8
 0.5,1.9541,0.0385,35.397,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,2.0144,0.0385,36.1871,19.8
 0.5,1.3722,0.0385,26.2178,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9197,0.0385,34.9363,19.8
 0.5,1.9132,0.0385,34.8478,19.8
 0.5,1.9018,0.0385,34.6932,19.8
 0.5,1.6671,0.0385,31.2729,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.5763,0.0385,29.8189,19.8
 0.5,1.9493,0.0385,35.3344,19.8
 0.5,1.7795,0.0385,32.9675,19.8
 0.5,1.7104,0.0385,31.9383,19.8
 0.5,1.8874,0.0385,34.4958,19.8
 1.0,1.0,0.0385,0.0,19.8
 0.5,1.9241,0.0385,34.9962,19.8
 0.5,1.6456,0.0385,30.9353,19.8
