S_b,S_d,gr,cycletime,time
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8917,0.0385,34.5547,18.0
 0.5,1.9762,0.0385,35.6894,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7704,0.0385,32.8336,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9082,0.0385,34.781,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9468,0.0385,35.3006,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.5215,0.0385,28.899,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.902,0.0385,34.6954,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9441,0.0385,35.2645,18.0
 0.5,1.6779,0.0385,31.4399,18.0
 0.5,1.8763,0.0385,34.3428,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9107,0.0385,34.814,18.0
 0.5,1.7605,0.0385,32.6883,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7545,0.0385,32.5991,18.0
 0.5,1.994,0.0385,35.923,18.0
 0.5,1.9837,0.0385,35.7879,18.0
 0.5,1.8308,0.0385,33.7053,18.0
 0.5,1.8217,0.0385,33.5762,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8689,0.0385,34.2403,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.6524,0.0385,31.0428,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7304,0.0385,32.2407,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9193,0.0385,34.9308,18.0
 0.5,1.7231,0.0385,32.1307,18.0
 0.5,1.6989,0.0385,31.7632,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7535,0.0385,32.5851,18.0
 0.5,1.9109,0.0385,34.8166,18.0
 0.5,1.9177,0.0385,34.9094,18.0
 0.5,1.8289,0.0385,33.6786,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.6703,0.0385,31.3222,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9732,0.0385,35.6509,18.0
 0.5,1.7396,0.0385,32.3777,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9043,0.0385,34.7275,18.0
 0.5,1.7579,0.0385,32.6496,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7821,0.0385,33.0054,18.0
 0.5,1.824,0.0385,33.6083,18.0
 0.5,1.776,0.0385,32.9157,18.0
 0.5,1.7617,0.0385,32.7063,18.0
 0.5,1.7145,0.0385,32.0003,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9243,0.0385,34.9989,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9116,0.0385,34.8262,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.8694,0.0385,34.247,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7676,0.0385,32.7933,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9742,0.0385,35.6638,18.0
 0.5,1.8384,0.0385,33.8129,18.0
 0.5,1.9114,0.0385,34.8243,18.0
 0.5,1.4699,0.0385,28.0045,18.0
 0.5,1.7914,0.0385,33.1406,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.7023,0.0385,31.8162,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9402,0.0385,35.2123,18.0
 0.5,1.9823,0.0385,35.7694,18.0
 0.5,1.878,0.0385,34.3665,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.5516,0.0385,29.4081,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.9299,0.0385,35.074,18.0
 0.5,1.8286,0.0385,33.6736,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
 0.5,1.6742,0.0385,31.3832,18.0
 0.5,1.861,0.0385,34.1298,18.0
 0.5,1.8619,0.0385,34.1428,18.0
 1.0,1.0,0.0385,0.0,18.0
 1.0,1.0,0.0385,0.0,18.0
