Sample,Cell,Mother,MotherSize,BirthTime,Sb,GrowthRate,DivPar
75,141,75,1.8711516514254336,16.270676812341062,0.93557583,0.03850818,0.5
58,58,58,1.8806781697876382,16.402553809873783,0.94033908,0.03850818,0.5
58,142,58,1.8806781697876382,16.402553809873783,0.94033908,0.03850818,0.5
41,41,41,1.8897658412419214,16.527734690437764,0.94488292,0.03850818,0.5
41,143,41,1.8897658412419214,16.527734690437764,0.94488292,0.03850818,0.5
53,53,53,1.8915416781745682,16.55212617068868,0.94577084,0.03850818,0.5
53,144,53,1.8915416781745682,16.55212617068868,0.94577084,0.03850818,0.5
98,98,98,1.9001154793187536,16.669567815485802,0.95005774,0.03850818,0.5
98,145,98,1.9001154793187536,16.669567815485802,0.95005774,0.03850818,0.5
17,17,17,1.9010497212828745,16.682332781849258,0.95052486,0.03850818,0.5
17,146,17,1.9010497212828745,16.682332781849258,0.95052486,0.03850818,0.5
55,55,55,1.9139283797302817,16.85766319882593,0.95696419,0.03850818,0.5
55,147,55,1.9139283797302817,16.85766319882593,0.95696419,0.03850818,0.5
43,43,43,1.914913460585805,16.871025507536388,0.95745673,0.03850818,0.5
43,148,43,1.914913460585805,16.871025507536388,0.95745673,0.03850818,0.5
15,15,15,1.933228896407515,17.11822435788576,0.96661445,0.03850818,0.5
15,149,15,1.933228896407515,17.11822435788576,0.96661445,0.03850818,0.5
62,62,62,1.9382040614032332,17.18496847983483,0.96910203,0.03850818,0.5
62,150,62,1.9382040614032332,17.18496847983483,0.96910203,0.03850818,0.5
56,56,56,1.9400892011028386,17.21021374679635,0.9700446,0.03850818,0.5
56,151,56,1.9400892011028386,17.21021374679635,0.9700446,0.03850818,0.5
68,68,68,1.9405638113237669,17.21656572964026,0.97028191,0.03850818,0.5
68,152,68,1.9405638113237669,17.21656572964026,0.97028191,0.03850818,0.5
5,5,5,1.9613695990431042,17.493505587704224,0.9806848,0.03850818,0.5
5,153,5,1.9613695990431042,17.493505587704224,0.9806848,0.03850818,0.5
92,92,92,1.9621835709455093,17.504280330634355,0.98109179,0.03850818,0.5
92,154,92,1.9621835709455093,17.504280330634355,0.98109179,0.03850818,0.5
77,77,77,1.9671326347958122,17.569696234553316,0.98356632,0.03850818,0.5
77,155,77,1.9671326347958122,17.569696234553316,0.98356632,0.03850818,0.5
45,45,45,1.9698868855731437,17.60603021876592,0.98494344,0.03850818,0.5
45,156,45,1.9698868855731437,17.60603021876592,0.98494344,0.03850818,0.5
57,57,57,1.9751798471523754,17.675712392164257,0.98758992,0.03850818,0.5
57,157,57,1.9751798471523754,17.675712392164257,0.98758992,0.03850818,0.5
38,38,38,1.9760018647679864,17.68651755129919,0.98800093,0.03850818,0.5
38,158,38,1.9760018647679864,17.68651755129919,0.98800093,0.03850818,0.5
97,97,97,1.9819880629032263,17.76506892303793,0.99099403,0.03850818,0.5
97,159,97,1.9819880629032263,17.76506892303793,0.99099403,0.03850818,0.5
36,36,36,2.003263459577738,18.042339058975017,1.00163173,0.03850818,0.5
36,160,36,2.003263459577738,18.042339058975017,1.00163173,0.03850818,0.5
65,65,65,2.0179749233539632,18.232348440691563,1.00898746,0.03850818,0.5
65,161,65,2.0179749233539632,18.232348440691563,1.00898746,0.03850818,0.5
60,60,60,2.019552133303277,18.252636996042543,1.00977607,0.03850818,0.5
60,162,60,2.019552133303277,18.252636996042543,1.00977607,0.03850818,0.5
21,21,21,2.021279377801092,18.27483736242443,1.01063969,0.03850818,0.5
21,163,21,2.021279377801092,18.27483736242443,1.01063969,0.03850818,0.5
63,63,63,2.0317042612455496,18.40842748702514,1.01585213,0.03850818,0.5
63,164,63,2.0317042612455496,18.40842748702514,1.01585213,0.03850818,0.5
32,32,32,2.0317998617501587,18.409649389430367,1.01589993,0.03850818,0.5
32,165,32,2.0317998617501587,18.409649389430367,1.01589993,0.03850818,0.5
4,4,4,2.0324724144795545,18.41824388888623,1.01623621,0.03850818,0.5
4,166,4,2.0324724144795545,18.41824388888623,1.01623621,0.03850818,0.5
50,50,50,2.0619418120506006,18.792065168286616,1.03097091,0.03850818,0.5
50,167,50,2.0619418120506006,18.792065168286616,1.03097091,0.03850818,0.5
30,30,30,2.091543922561191,19.16222930985012,1.04577196,0.03850818,0.5
30,168,30,2.091543922561191,19.16222930985012,1.04577196,0.03850818,0.5
70,70,70,2.0998096669420594,19.264654144873212,1.04990483,0.03850818,0.5
70,169,70,2.0998096669420594,19.264654144873212,1.04990483,0.03850818,0.5
39,39,39,2.101994610735147,19.291661467305605,1.05099731,0.03850818,0.5
39,170,39,2.101994610735147,19.291661467305605,1.05099731,0.03850818,0.5
96,96,96,2.112326970627127,19.41899704491494,1.05616349,0.03850818,0.5
96,171,96,2.112326970627127,19.41899704491494,1.05616349,0.03850818,0.5
87,87,87,2.1224843192724943,19.54357011564448,1.06124216,0.03850818,0.5
87,172,87,2.1224843192724943,19.54357011564448,1.06124216,0.03850818,0.5
1,1,1,2.1432728024381213,19.796678863568538,1.0716364,0.03850818,0.5
1,173,1,2.1432728024381213,19.796678863568538,1.0716364,0.03850818,0.5
94,94,94,2.1493565672089696,19.870287089642076,1.07467828,0.03850818,0.5
94,174,94,2.1493565672089696,19.870287089642076,1.07467828,0.03850818,0.5
0,0,0,2.150100015940736,19.879267878814655,1.07505001,0.03850818,0.5
0,175,0,2.150100015940736,19.879267878814655,1.07505001,0.03850818,0.5
67,67,67,2.174501522929653,20.172324945697547,1.08725076,0.03850818,0.5
67,176,67,2.174501522929653,20.172324945697547,1.08725076,0.03850818,0.5
34,34,34,2.183381835444913,20.27816018318577,1.09169092,0.03850818,0.5
34,177,34,2.183381835444913,20.27816018318577,1.09169092,0.03850818,0.5
83,83,83,2.185598097288758,20.304506389993033,1.09279905,0.03850818,0.5
83,178,83,2.185598097288758,20.304506389993033,1.09279905,0.03850818,0.5
44,44,44,2.191970420161787,20.38010993619249,1.09598521,0.03850818,0.5
44,179,44,2.191970420161787,20.38010993619249,1.09598521,0.03850818,0.5
31,31,31,2.2112563355591175,20.60759297601019,1.10562817,0.03850818,0.5
31,180,31,2.2112563355591175,20.60759297601019,1.10562817,0.03850818,0.5
71,71,71,2.2415740364912677,20.9612187117996,1.12078702,0.03850818,0.5
71,181,71,2.2415740364912677,20.9612187117996,1.12078702,0.03850818,0.5
51,51,51,2.2463957434461173,21.017017927542266,1.12319787,0.03850818,0.5
51,182,51,2.2463957434461173,21.017017927542266,1.12319787,0.03850818,0.5
78,78,78,2.266087341199199,21.243662417514813,1.13304367,0.03850818,0.5
78,183,78,2.266087341199199,21.243662417514813,1.13304367,0.03850818,0.5
59,59,59,2.290859031148785,21.525996322892244,1.14542952,0.03850818,0.5
59,184,59,2.290859031148785,21.525996322892244,1.14542952,0.03850818,0.5
46,46,46,2.290980102568423,21.527368716976653,1.14549005,0.03850818,0.5
46,185,46,2.290980102568423,21.527368716976653,1.14549005,0.03850818,0.5
66,66,66,2.3067071003985804,21.70502686850561,1.15335355,0.03850818,0.5
66,186,66,2.3067071003985804,21.70502686850561,1.15335355,0.03850818,0.5
81,81,81,2.3200035402713297,21.85428612372354,1.16000177,0.03850818,0.5
81,187,81,2.3200035402713297,21.85428612372354,1.16000177,0.03850818,0.5
11,11,11,2.337889577374745,22.053722228307794,1.16894479,0.03850818,0.5
11,188,11,2.337889577374745,22.053722228307794,1.16894479,0.03850818,0.5
42,42,42,2.34003704429093,22.077564638031486,1.17001852,0.03850818,0.5
42,189,42,2.34003704429093,22.077564638031486,1.17001852,0.03850818,0.5
72,72,72,2.350837631588056,22.19714816229717,1.17541882,0.03850818,0.5
72,190,72,2.350837631588056,22.19714816229717,1.17541882,0.03850818,0.5
40,40,40,2.351190145404814,22.20104191166931,1.17559507,0.03850818,0.5
40,191,40,2.351190145404814,22.20104191166931,1.17559507,0.03850818,0.5
61,61,61,2.3515439751789886,22.204949609647173,1.17577199,0.03850818,0.5
61,192,61,2.3515439751789886,22.204949609647173,1.17577199,0.03850818,0.5
47,47,47,2.3700197696521945,22.408183682908792,1.18500988,0.03850818,0.5
47,193,47,2.3700197696521945,22.408183682908792,1.18500988,0.03850818,0.5
8,8,8,2.416553645411187,22.913118390769412,1.20827682,0.03850818,0.5
8,194,8,2.416553645411187,22.913118390769412,1.20827682,0.03850818,0.5
99,99,99,2.4305881213037774,23.063497923242053,1.21529406,0.03850818,0.5
99,195,99,2.4305881213037774,23.063497923242053,1.21529406,0.03850818,0.5
82,82,82,2.486978314223788,23.65909069860526,1.24348916,0.03850818,0.5
82,196,82,2.486978314223788,23.65909069860526,1.24348916,0.03850818,0.5
7,7,7,2.495706240009756,23.750066341883254,1.24785312,0.03850818,0.5
7,197,7,2.495706240009756,23.750066341883254,1.24785312,0.03850818,0.5
93,93,93,2.5370725164465404,24.17696561064738,1.26853626,0.03850818,0.5
93,198,93,2.5370725164465404,24.17696561064738,1.26853626,0.03850818,0.5
48,105,105,1.3012680348404848,24.83852685483985,0.65063402,0.03850818,0.5
